t,imu_accel_true_x,imu_accel_meas_x,imu_gyro_true_x,imu_gyro_meas_x,seeker_los_true,seeker_los_meas
0.745,-62.3713298,-62.3713298,0,0,0.354328607,0.354328607
0.75,-62.3428653,-62.3428653,0,0,0.354236112,0.354236112
0.755,-62.3143128,-62.3143128,0,0,0.35414384,0.35414384
0.76,-62.2856729,-62.2856729,0,0,0.35405179,0.35405179
0.765,-62.2569465,-62.2569465,0,0,0.353959962,0.353959962
0.77,-62.2281346,-62.2281346,0,0,0.353868355,0.353868355
0.775,-62.1992378,-62.1992378,0,0,0.353776969,0.353776969
0.78,-62.1702571,-62.1702571,0,0,0.353685804,0.353685804
0.785,-62.1411932,-62.1411932,0,0,0.353594859,0.353594859
0.79,-62.1120469,-62.1120469,0,0,0.353504133,0.353504133
0.795,-62.0828191,-62.0828191,0,0,0.353413627,0.353413627
0.8,-62.0535104,-62.0535104,0,0,0.353323339,0.353323339
0.805,-62.0241218,-62.0241218,0,0,0.353233269,0.353233269
0.81,-61.994654,-61.994654,0,0,0.353143417,0.353143417
0.815,-61.9651078,-61.9651078,0,0,0.353053782,0.353053782
0.82,-61.9354839,-61.9354839,0,0,0.352964365,0.352964365
0.825,-61.9057831,-61.9057831,0,0,0.352875163,0.352875163
0.83,-61.8760061,-61.8760061,0,0,0.352786178,0.352786178
0.835,-61.8461538,-61.8461538,0,0,0.352697408,0.352697408
0.84,-61.8162269,-61.8162269,0,0,0.352608853,0.352608853
0.845,-61.7862261,-61.7862261,0,0,0.352520513,0.352520513
0.85,-61.7561521,-61.7561521,0,0,0.352432387,0.352432387
0.855,-61.7260057,-61.7260057,0,0,0.352344475,0.352344475
0.86,-61.6957876,-61.6957876,0,0,0.352256776,0.352256776
0.865,-61.6654985,-61.6654985,0,0,0.35216929,0.35216929
0.87,-61.6351392,-61.6351392,0,0,0.352082017,0.352082017
0.875,-61.6047104,-61.6047104,0,0,0.351994955,0.351994955
0.88,-61.5742127,-61.5742127,0,0,0.351908105,0.351908105
0.885,-61.5436469,-61.5436469,0,0,0.351821466,0.351821466
0.89,-61.5130137,-61.5130137,0,0,0.351735038,0.351735038
0.895,-61.4823137,-61.4823137,0,0,0.35164882,0.35164882
0.9,-61.4515477,-61.4515477,0,0,0.351562812,0.351562812
0.905,-61.4207163,-61.4207163,0,0,0.351477014,0.351477014
0.91,-61.3898202,-61.3898202,0,0,0.351391424,0.351391424
0.915,-61.35886,-61.35886,0,0,0.351306043,0.351306043
0.92,-61.3278365,-61.3278365,0,0,0.35122087,0.35122087
0.925,-61.2967503,-61.2967503,0,0,0.351135905,0.351135905
0.93,-61.2656021,-61.2656021,0,0,0.351051148,0.351051148
0.935,-61.2343925,-61.2343925,0,0,0.350966597,0.350966597
0.94,-61.2031221,-61.2031221,0,0,0.350882252,0.350882252
0.945,-61.1717917,-61.1717917,0,0,0.350798114,0.350798114
0.95,-61.1404018,-61.1404018,0,0,0.350714181,0.350714181
0.955,-61.1089531,-61.1089531,0,0,0.350630453,0.350630453
0.96,-61.0774461,-61.0774461,0,0,0.350546931,0.350546931
0.965,-61.0458816,-61.0458816,0,0,0.350463612,0.350463612
0.97,-61.0142602,-61.0142602,0,0,0.350380498,0.350380498
0.975,-60.9825824,-60.9825824,0,0,0.350297587,0.350297587
0.98,-60.9508489,-60.9508489,0,0,0.350214879,0.350214879
0.985,-60.9190603,-60.9190603,0,0,0.350132374,0.350132374
0.99,-60.8872172,-60.8872172,0,0,0.350050072,0.350050072
0.995,-60.8553202,-60.8553202,0,0,0.349967971,0.349967971
1,-60.8233699,-60.8233699,0,0,0.349886072,0.349886072
1.005,-60.7913668,-60.7913668,0,0,0.349804374,0.349804374
1.01,-60.7593116,-60.7593116,0,0,0.349722876,0.349722876
1.015,-60.7272048,-60.7272048,0,0,0.349641579,0.349641579
1.02,-60.695047,-60.695047,0,0,0.349560482,0.349560482
1.025,-60.6628389,-60.6628389,0,0,0.349479584,0.349479584
1.03,-60.6305809,-60.6305809,0,0,0.349398886,0.349398886
1.035,-60.5982736,-60.5982736,0,0,0.349318386,0.349318386
1.04,-60.5659176,-60.5659176,0,0,0.349238084,0.349238084
1.045,-60.5335135,-60.5335135,0,0,0.349157981,0.349157981
1.05,-60.5010617,-60.5010617,0,0,0.349078075,0.349078075
1.055,-60.4685629,-60.4685629,0,0,0.348998366,0.348998366
1.06,-60.4360176,-60.4360176,0,0,0.348918853,0.348918853
1.065,-60.4034263,-60.4034263,0,0,0.348839537,0.348839537
1.07,-60.3707896,-60.3707896,0,0,0.348760417,0.348760417
1.075,-60.3381079,-60.3381079,0,0,0.348681493,0.348681493
1.08,-60.3053819,-60.3053819,0,0,0.348602763,0.348602763
1.085,-60.2726121,-60.2726121,0,0,0.348524229,0.348524229
1.09,-60.2397989,-60.2397989,0,0,0.348445889,0.348445889
1.095,-60.206943,-60.206943,0,0,0.348367743,0.348367743
1.1,-60.1740447,-60.1740447,0,0,0.34828979,0.34828979
1.105,-60.1411047,-60.1411047,0,0,0.348212031,0.348212031
1.11,-60.1081234,-60.1081234,0,0,0.348134464,0.348134464
1.115,-60.0751013,-60.0751013,0,0,0.34805709,0.34805709
1.12,-60.042039,-60.042039,0,0,0.347979908,0.347979908
1.125,-60.0089369,-60.0089369,0,0,0.347902918,0.347902918
1.13,-59.9757955,-59.9757955,0,0,0.347826119,0.347826119
1.135,-59.9426153,-59.9426153,0,0,0.347749511,0.347749511
1.14,-59.9093968,-59.9093968,0,0,0.347673094,0.347673094
1.145,-59.8761405,-59.8761405,0,0,0.347596867,0.347596867
1.15,-59.8428469,-59.8428469,0,0,0.347520829,0.347520829
1.155,-59.8095164,-59.8095164,0,0,0.347444982,0.347444982
1.16,-59.7761494,-59.7761494,0,0,0.347369323,0.347369323
1.165,-59.7427466,-59.7427466,0,0,0.347293853,0.347293853
1.17,-59.7093083,-59.7093083,0,0,0.347218571,0.347218571
1.175,-59.675835,-59.675835,0,0,0.347143477,0.347143477
1.18,-59.6423271,-59.6423271,0,0,0.347068571,0.347068571
1.185,-59.6087852,-59.6087852,0,0,0.346993852,0.346993852
1.19,-59.5752096,-59.5752096,0,0,0.34691932,0.34691932
1.195,-59.5416009,-59.5416009,0,0,0.346844974,0.346844974
1.2,-59.5079594,-59.5079594,0,0,0.346770814,0.346770814
