t,x,y,z,vx,vy,vz,roll,pitch,yaw,mass,mach,thrust
0.98,624.644855,0,501.747709,606.638377,0,435.559149,0,0,0,22,2.20712088,0
0.985,627.677285,0,503.92386,606.333623,0,434.901114,0,0,0,22,2.20531001,0
0.99,630.708192,0,506.096724,606.029028,0,434.244667,0,0,0,22,2.20350259,0
0.995,633.737576,0,508.26631,605.724592,0,433.589801,0,0,0,22,2.2016986,0
1,636.765438,0,510.432626,605.420315,0,432.936513,0,0,0,22,2.19989804,0
1.005,639.791779,0,512.595679,605.116198,0,432.284797,0,0,0,22,2.1981009,0
1.01,642.8166,0,514.755478,604.812241,0,431.63465,0,0,0,22,2.19630716,0
1.015,645.839902,0,516.91203,604.508445,0,430.986067,0,0,0,22,2.19451682,0
1.02,648.861685,0,519.065342,604.204809,0,430.339044,0,0,0,22,2.19272986,0
1.025,651.881951,0,521.215424,603.901334,0,429.693575,0,0,0,22,2.19094628,0
1.03,654.900699,0,523.362282,603.598019,0,429.049656,0,0,0,22,2.18916606,0
1.035,657.917931,0,525.505924,603.294866,0,428.407284,0,0,0,22,2.1873892,0
1.04,660.933648,0,527.646359,602.991875,0,427.766453,0,0,0,22,2.18561568,0
1.045,663.94785,0,529.783593,602.689046,0,427.127159,0,0,0,22,2.1838455,0
1.05,666.960539,0,531.917634,602.386378,0,426.489398,0,0,0,22,2.18207864,0
1.055,669.971714,0,534.048491,602.083873,0,425.853165,0,0,0,22,2.1803151,0
1.06,672.981378,0,536.17617,601.78153,0,425.218456,0,0,0,22,2.17855487,0
1.065,675.98953,0,538.300679,601.47935,0,424.585267,0,0,0,22,2.17679793,0
1.07,678.996172,0,540.422026,601.177333,0,423.953593,0,0,0,22,2.17504427,0
1.075,682.001304,0,542.540219,600.875479,0,423.323429,0,0,0,22,2.17329389,0
1.08,685.004927,0,544.655264,600.573788,0,422.694773,0,0,0,22,2.17154678,0
1.085,688.007042,0,546.76717,600.272261,0,422.067618,0,0,0,22,2.16980292,0
1.09,691.00765,0,548.875944,599.970898,0,421.441962,0,0,0,22,2.16806231,0
1.095,694.006752,0,550.981594,599.669699,0,420.817799,0,0,0,22,2.16632494,0
1.1,697.004347,0,553.084126,599.368664,0,420.195126,0,0,0,22,2.1645908,0
1.105,700.000439,0,555.183548,599.067794,0,419.573937,0,0,0,22,2.16285987,0
1.11,702.995026,0,557.279869,598.767089,0,418.95423,0,0,0,22,2.16113215,0
1.115,705.98811,0,559.373094,598.466548,0,418.336,0,0,0,22,2.15940764,0
1.12,708.979692,0,561.463233,598.166173,0,417.719242,0,0,0,22,2.15768631,0
1.125,711.969772,0,563.550291,597.865962,0,417.103952,0,0,0,22,2.15596816,0
1.13,714.958352,0,565.634276,597.565918,0,416.490127,0,0,0,22,2.15425318,0
1.135,717.945432,0,567.715196,597.266039,0,415.877762,0,0,0,22,2.15254136,0
1.14,720.931013,0,569.793057,596.966326,0,415.266853,0,0,0,22,2.1508327,0
1.145,723.915095,0,571.867868,596.666779,0,414.657395,0,0,0,22,2.14912718,0
1.15,726.897681,0,573.939635,596.367398,0,414.049385,0,0,0,22,2.14742479,0
1.155,729.87877,0,576.008365,596.068184,0,413.442819,0,0,0,22,2.14572553,0
1.16,732.858363,0,578.074066,595.769136,0,412.837692,0,0,0,22,2.14402938,0
1.165,735.836462,0,580.136746,595.470255,0,412.234001,0,0,0,22,2.14233634,0
1.17,738.813066,0,582.19641,595.171542,0,411.631741,0,0,0,22,2.1406464,0
