t,accel_cmd_x,accel_cmd_y,accel_cmd_z,fin_x,fin_y,fin_z,los_angle,los_rate,v_closing,range,nav_x,nav_y,nav_z
3.885,1.81673443,0,-5.35696394,0,0,0,0.326963012,0.00182070796,776.708987,6082.29344,7912.2,0,3344.6
3.89,1.80064948,0,-5.30969286,0,0,0,0.326953947,0.00180528175,776.431184,6078.41059,7910.8,0,3344.4
3.895,1.78459918,0,-5.2625198,0,0,0,0.326944959,0.0017898774,776.153637,6074.52913,7909.4,0,3344.2
3.9,1.76858169,0,-5.2154394,0,0,0,0.326936048,0.00177449329,775.876269,6070.64906,7908,0,3344
3.905,1.75259678,0,-5.16845102,0,0,0,0.326927214,0.00175912924,775.599075,6066.77037,7906.6,0,3343.8
3.91,1.73664439,0,-5.12155448,0,0,0,0.326918457,0.00174378523,775.322054,6062.89307,7905.2,0,3343.6
3.915,1.72072442,0,-5.0747496,0,0,0,0.326909776,0.00172846123,775.045206,6059.01715,7903.8,0,3343.4
3.92,1.7048368,0,-5.0280362,0,0,0,0.326901172,0.00171315719,774.768531,6055.14261,7902.4,0,3343.2
3.925,1.68898146,0,-4.98141409,0,0,0,0.326892645,0.0016978731,774.492029,6051.26946,7901,0,3343
3.93,1.67315831,0,-4.93488309,0,0,0,0.326884193,0.00168260891,774.2157,6047.39769,7899.6,0,3342.8
3.935,1.65736729,0,-4.88844301,0,0,0,0.326875818,0.0016673646,773.939545,6043.5273,7898.2,0,3342.6
3.94,1.64160831,0,-4.84209367,0,0,0,0.32686752,0.00165214012,773.663563,6039.6583,7896.8,0,3342.4
3.945,1.62588129,0,-4.7958349,0,0,0,0.326859297,0.00163693546,773.387754,6035.79067,7895.4,0,3342.2
3.95,1.61018617,0,-4.74966651,0,0,0,0.32685115,0.00162175058,773.112118,6031.92442,7894,0,3342
3.955,1.59452286,0,-4.70358831,0,0,0,0.326843079,0.00160658544,772.836655,6028.05955,7892.6,0,3341.8
3.96,1.57889128,0,-4.65760013,0,0,0,0.326835084,0.00159144002,772.561366,6024.19605,7891.2,0,3341.6
3.965,1.56329137,0,-4.61170179,0,0,0,0.326827165,0.00157631427,772.286249,6020.33393,7889.8,0,3341.4
3.97,1.54772305,0,-4.5658931,0,0,0,0.326819321,0.00156120818,772.011306,6016.47319,7888.4,0,3341.2
3.975,1.53218624,0,-4.52017388,0,0,0,0.326811553,0.0015461217,771.736536,6012.61382,7887,0,3341
3.98,1.51668086,0,-4.47454396,0,0,0,0.32680386,0.00153105481,771.46194,6008.75582,7885.6,0,3340.8
3.985,1.50120684,0,-4.42900316,0,0,0,0.326796242,0.00151600747,771.187516,6004.8992,7884.2,0,3340.6
3.99,1.4857641,0,-4.38355129,0,0,0,0.3267887,0.00150097965,770.913266,6001.04395,7882.8,0,3340.4
3.995,1.47035258,0,-4.33818817,0,0,0,0.326781232,0.00148597132,770.639188,5997.19007,7881.4,0,3340.2
4,1.45497219,0,-4.29291364,0,0,0,0.32677384,0.00147098245,770.365284,5993.33755,7880,0,3340
4.005,1.43962286,0,-4.2477275,0,0,0,0.326766522,0.00145601301,770.091553,5989.48641,7878.6,0,3339.8
4.01,1.42430452,0,-4.20262958,0,0,0,0.32675928,0.00144106296,769.817996,5985.63664,7877.2,0,3339.6
4.015,1.40901709,0,-4.1576197,0,0,0,0.326752112,0.00142613227,769.544611,5981.78823,7875.8,0,3339.4
4.02,1.3937605,0,-4.11269768,0,0,0,0.326745018,0.00141122091,769.2714,5977.94119,7874.4,0,3339.2
4.025,1.37853467,0,-4.06786335,0,0,0,0.326737999,0.00139632885,768.998361,5974.09552,7873,0,3339
4.03,1.36333953,0,-4.02311653,0,0,0,0.326731055,0.00138145605,768.725496,5970.25121,7871.6,0,3338.8
4.035,1.34817501,0,-3.97845704,0,0,0,0.326724185,0.00136660249,768.452804,5966.40826,7870.2,0,3338.6
4.04,1.33304103,0,-3.93388471,0,0,0,0.326717389,0.00135176814,768.180285,5962.56668,7868.8,0,3338.4
4.045,1.31793752,0,-3.88939935,0,0,0,0.326710667,0.00133695296,767.907939,5958.72646,7867.4,0,3338.2
4.05,1.30286441,0,-3.8450008,0,0,0,0.326704019,0.00132215691,767.635766,5954.8876,7866,0,3338
4.055,1.28782162,0,-3.80068887,0,0,0,0.326697445,0.00130737998,767.363767,5951.0501,7864.6,0,3337.8
4.06,1.27280909,0,-3.75646339,0,0,0,0.326690945,0.00129262213,767.09194,5947.21396,7863.2,0,3337.6
4.065,1.25782673,0,-3.71232419,0,0,0,0.326684519,0.00127788332,766.820287,5943.37918,7861.8,0,3337.4
4.07,1.24287448,0,-3.66827109,0,0,0,0.326678166,0.00126316352,766.548806,5939.54576,7860.4,0,3337.2
4.075,1.22795226,0,-3.62430391,0,0,0,0.326671887,0.00124846271,766.277499,5935.71369,7859,0,3337
4.08,1.21306,0,-3.58042249,0,0,0,0.326665682,0.00123378085,766.006364,5931.88298,7857.6,0,3336.8
4.085,1.19819763,0,-3.53662664,0,0,0,0.326659549,0.00121911791,765.735403,5928.05363,7856.2,0,3336.6
4.09,1.18336508,0,-3.49291619,0,0,0,0.32665349,0.00120447386,765.464615,5924.22563,7854.8,0,3336.4
4.095,1.16856228,0,-3.44929098,0,0,0,0.326647505,0.00118984867,765.193999,5920.39898,7853.4,0,3336.2
4.1,1.15378915,0,-3.40575082,0,0,0,0.326641592,0.0011752423,764.923557,5916.57369,7852,0,3336
4.105,1.13904563,0,-3.36229554,0,0,0,0.326635752,0.00116065474,764.653287,5912.74975,7850.6,0,3335.8
4.11,1.12433163,0,-3.31892498,0,0,0,0.326629985,0.00114608593,764.383191,5908.92715,7849.2,0,3335.6
4.115,1.1096471,0,-3.27563895,0,0,0,0.326624291,0.00113153586,764.113267,5905.10591,7847.8,0,3335.4
4.12,1.09499196,0,-3.23243728,0,0,0,0.32661867,0.00111700449,763.843517,5901.28602,7846.4,0,3335.2
4.125,1.08036614,0,-3.18931981,0,0,0,0.326613121,0.0011024918,763.573939,5897.46748,7845,0,3335
4.13,1.06576957,0,-3.14628637,0,0,0,0.326607645,0.00108799774,763.304534,5893.65028,7843.6,0,3334.8
4.135,1.05120217,0,-3.10333677,0,0,0,0.326602241,0.0010735223,763.035302,5889.83443,7842.2,0,3334.6
4.14,1.03666389,0,-3.06047085,0,0,0,0.32659691,0.00105906543,762.766243,5886.01993,7840.8,0,3334.4
4.145,1.02215464,0,-3.01768844,0,0,0,0.32659165,0.00104462711,762.497357,5882.20677,7839.4,0,3334.2
4.15,1.00767437,0,-2.97498937,0,0,0,0.326586463,0.0010302073,762.228644,5878.39495,7838,0,3334
4.155,0.993222987,0,-2.93237346,0,0,0,0.326581348,0.00101580599,761.960103,5874.58448,7836.6,0,3333.8
4.16,0.978800439,0,-2.88984056,0,0,0,0.326576305,0.00100142313,761.691735,5870.77535,7835.2,0,3333.6
4.165,0.96440665,0,-2.84739048,0,0,0,0.326571334,0.000987058688,761.42354,5866.96756,7833.8,0,3333.4
4.17,0.950041553,0,-2.80502306,0,0,0,0.326566434,0.000972712645,761.155518,5863.16112,7832.4,0,3333.2
4.175,0.935705077,0,-2.76273813,0,0,0,0.326561607,0.000958384964,760.887669,5859.35601,7831,0,3333
4.18,0.921397154,0,-2.72053552,0,0,0,0.326556851,0.000944075616,760.619992,5855.55224,7829.6,0,3332.8
4.185,0.907117715,0,-2.67841506,0,0,0,0.326552166,0.00092978457,760.352488,5851.74981,7828.2,0,3332.6
4.19,0.892866691,0,-2.63637659,0,0,0,0.326547553,0.000915511795,760.085156,5847.94871,7826.8,0,3332.4
4.195,0.878644015,0,-2.59441993,0,0,0,0.326543011,0.00090125726,759.817997,5844.14896,7825.4,0,3332.2
4.2,0.864449617,0,-2.55254492,0,0,0,0.32653854,0.000887020936,759.551011,5840.35053,7824,0,3332
4.205,0.850283429,0,-2.51075139,0,0,0,0.32653414,0.000872802792,759.284198,5836.55345,7822.6,0,3331.8
4.21,0.836145384,0,-2.46903918,0,0,0,0.326529812,0.000858602797,759.017556,5832.75769,7821.2,0,3331.6
4.215,0.822035414,0,-2.42740811,0,0,0,0.326525554,0.00084442092,758.751088,5828.96327,7819.8,0,3331.4
4.22,0.80795345,0,-2.38585802,0,0,0,0.326521368,0.000830257133,758.484792,5825.17018,7818.4,0,3331.2
4.225,0.793899426,0,-2.34438874,0,0,0,0.326517252,0.000816111403,758.218669,5821.37842,7817,0,3331
4.23,0.779873274,0,-2.30300011,0,0,0,0.326513206,0.000801983701,757.952718,5817.58799,7815.6,0,3330.8
4.235,0.765874926,0,-2.26169197,0,0,0,0.326509232,0.000787873997,757.686939,5813.79889,7814.2,0,3330.6
4.24,0.751904316,0,-2.22046414,0,0,0,0.326505328,0.00077378226,757.421333,5810.01112,7812.8,0,3330.4
4.245,0.737961377,0,-2.17931646,0,0,0,0.326501494,0.00075970846,757.1559,5806.22468,7811.4,0,3330.2
4.25,0.724046042,0,-2.13824877,0,0,0,0.32649773,0.000745652568,756.890638,5802.43956,7810,0,3330
4.255,0.710158244,0,-2.0972609,0,0,0,0.326494037,0.000731614552,756.625549,5798.65577,7808.6,0,3329.8
4.26,0.696297917,0,-2.05635268,0,0,0,0.326490414,0.000717594383,756.360633,5794.87331,7807.2,0,3329.6
4.265,0.682464994,0,-2.01552396,0,0,0,0.326486861,0.000703592031,756.095888,5791.09217,7805.8,0,3329.4
4.27,0.66865941,0,-1.97477457,0,0,0,0.326483378,0.000689607465,755.831316,5787.31235,7804.4,0,3329.2
4.275,0.654881098,0,-1.93410434,0,0,0,0.326479965,0.000675640656,755.566917,5783.53385,7803,0,3329
4.28,0.641129992,0,-1.89351312,0,0,0,0.326476622,0.000661691574,755.302689,5779.75668,7801.6,0,3328.8
4.285,0.627406027,0,-1.85300073,0,0,0,0.326473348,0.000647760189,755.038634,5775.98083,7800.2,0,3328.6
4.29,0.613709137,0,-1.81256703,0,0,0,0.326470144,0.00063384647,754.774751,5772.20629,7798.8,0,3328.4
4.295,0.600039257,0,-1.77221183,0,0,0,0.32646701,0.000619950389,754.51104,5768.43308,7797.4,0,3328.2
4.3,0.586396321,0,-1.73193499,0,0,0,0.326463945,0.000606071915,754.247501,5764.66118,7796,0,3328
4.305,0.572780265,0,-1.69173634,0,0,0,0.326460949,0.000592211019,753.984134,5760.8906,7794.6,0,3327.8
4.31,0.559191022,0,-1.65161572,0,0,0,0.326458022,0.00057836767,753.720939,5757.12134,7793.2,0,3327.6
4.315,0.54562853,0,-1.61157296,0,0,0,0.326455165,0.00056454184,753.457916,5753.35339,7791.8,0,3327.4
4.32,0.532092722,0,-1.57160791,0,0,0,0.326452377,0.000550733498,753.195065,5749.58676,7790.4,0,3327.2
