t,x,y,z,vx,vy,vz
0.935,8738.2,0,3462.6,-280,0,-40
0.94,8736.8,0,3462.4,-280,0,-40
0.945,8735.4,0,3462.2,-280,0,-40
0.95,8734,0,3462,-280,0,-40
0.955,8732.6,0,3461.8,-280,0,-40
0.96,8731.2,0,3461.6,-280,0,-40
0.965,8729.8,0,3461.4,-280,0,-40
0.97,8728.4,0,3461.2,-280,0,-40
0.975,8727,0,3461,-280,0,-40
0.98,8725.6,0,3460.8,-280,0,-40
0.985,8724.2,0,3460.6,-280,0,-40
0.99,8722.8,0,3460.4,-280,0,-40
0.995,8721.4,0,3460.2,-280,0,-40
1,8720,0,3460,-280,0,-40
1.005,8718.6,0,3459.8,-280,0,-40
1.01,8717.2,0,3459.6,-280,0,-40
1.015,8715.8,0,3459.4,-280,0,-40
1.02,8714.4,0,3459.2,-280,0,-40
1.025,8713,0,3459,-280,0,-40
1.03,8711.6,0,3458.8,-280,0,-40
1.035,8710.2,0,3458.6,-280,0,-40
1.04,8708.8,0,3458.4,-280,0,-40
1.045,8707.4,0,3458.2,-280,0,-40
1.05,8706,0,3458,-280,0,-40
1.055,8704.6,0,3457.8,-280,0,-40
1.06,8703.2,0,3457.6,-280,0,-40
1.065,8701.8,0,3457.4,-280,0,-40
1.07,8700.4,0,3457.2,-280,0,-40
1.075,8699,0,3457,-280,0,-40
1.08,8697.6,0,3456.8,-280,0,-40
1.085,8696.2,0,3456.6,-280,0,-40
1.09,8694.8,0,3456.4,-280,0,-40
1.095,8693.4,0,3456.2,-280,0,-40
1.1,8692,0,3456,-280,0,-40
1.105,8690.6,0,3455.8,-280,0,-40
1.11,8689.2,0,3455.6,-280,0,-40
1.115,8687.8,0,3455.4,-280,0,-40
1.12,8686.4,0,3455.2,-280,0,-40
1.125,8685,0,3455,-280,0,-40
1.13,8683.6,0,3454.8,-280,0,-40
1.135,8682.2,0,3454.6,-280,0,-40
1.14,8680.8,0,3454.4,-280,0,-40
1.145,8679.4,0,3454.2,-280,0,-40
1.15,8678,0,3454,-280,0,-40
1.155,8676.6,0,3453.8,-280,0,-40
1.16,8675.2,0,3453.6,-280,0,-40
1.165,8673.8,0,3453.4,-280,0,-40
1.17,8672.4,0,3453.2,-280,0,-40
1.175,8671,0,3453,-280,0,-40
1.18,8669.6,0,3452.8,-280,0,-40
1.185,8668.2,0,3452.6,-280,0,-40
1.19,8666.8,0,3452.4,-280,0,-40
1.195,8665.4,0,3452.2,-280,0,-40
1.2,8664,0,3452,-280,0,-40
1.205,8662.6,0,3451.8,-280,0,-40
1.21,8661.2,0,3451.6,-280,0,-40
1.215,8659.8,0,3451.4,-280,0,-40
1.22,8658.4,0,3451.2,-280,0,-40
1.225,8657,0,3451,-280,0,-40
1.23,8655.6,0,3450.8,-280,0,-40
1.235,8654.2,0,3450.6,-280,0,-40
1.24,8652.8,0,3450.4,-280,0,-40
1.245,8651.4,0,3450.2,-280,0,-40
1.25,8650,0,3450,-280,0,-40
1.255,8648.6,0,3449.8,-280,0,-40
1.26,8647.2,0,3449.6,-280,0,-40
1.265,8645.8,0,3449.4,-280,0,-40
1.27,8644.4,0,3449.2,-280,0,-40
1.275,8643,0,3449,-280,0,-40
1.28,8641.6,0,3448.8,-280,0,-40
1.285,8640.2,0,3448.6,-280,0,-40
1.29,8638.8,0,3448.4,-280,0,-40
1.295,8637.4,0,3448.2,-280,0,-40
1.3,8636,0,3448,-280,0,-40
1.305,8634.6,0,3447.8,-280,0,-40
1.31,8633.2,0,3447.6,-280,0,-40
1.315,8631.8,0,3447.4,-280,0,-40
1.32,8630.4,0,3447.2,-280,0,-40
1.325,8629,0,3447,-280,0,-40
1.33,8627.6,0,3446.8,-280,0,-40
1.335,8626.2,0,3446.6,-280,0,-40
1.34,8624.8,0,3446.4,-280,0,-40
1.345,8623.4,0,3446.2,-280,0,-40
1.35,8622,0,3446,-280,0,-40
1.355,8620.6,0,3445.8,-280,0,-40
1.36,8619.2,0,3445.6,-280,0,-40
1.365,8617.8,0,3445.4,-280,0,-40
1.37,8616.4,0,3445.2,-280,0,-40
1.375,8615,0,3445,-280,0,-40
1.38,8613.6,0,3444.8,-280,0,-40
1.385,8612.2,0,3444.6,-280,0,-40
1.39,8610.8,0,3444.4,-280,0,-40
1.395,8609.4,0,3444.2,-280,0,-40
1.4,8608,0,3444,-280,0,-40
1.405,8606.6,0,3443.8,-280,0,-40
1.41,8605.2,0,3443.6,-280,0,-40
1.415,8603.8,0,3443.4,-280,0,-40
1.42,8602.4,0,3443.2,-280,0,-40
1.425,8601,0,3443,-280,0,-40
1.43,8599.6,0,3442.8,-280,0,-40
1.435,8598.2,0,3442.6,-280,0,-40
1.44,8596.8,0,3442.4,-280,0,-40
1.445,8595.4,0,3442.2,-280,0,-40
1.45,8594,0,3442,-280,0,-40
1.455,8592.6,0,3441.8,-280,0,-40
1.46,8591.2,0,3441.6,-280,0,-40
1.465,8589.8,0,3441.4,-280,0,-40
1.47,8588.4,0,3441.2,-280,0,-40
1.475,8587,0,3441,-280,0,-40
1.48,8585.6,0,3440.8,-280,0,-40
1.485,8584.2,0,3440.6,-280,0,-40
1.49,8582.8,0,3440.4,-280,0,-40
1.495,8581.4,0,3440.2,-280,0,-40
1.5,8580,0,3440,-280,0,-40
1.505,8578.6,0,3439.8,-280,0,-40
1.51,8577.2,0,3439.6,-280,0,-40
